Organism Name,Region,Average_lifespan_days,Tip_Name,Genome_size_bp,AA_OE,AT_OE,AG_OE,AC_OE,TA_OE,TT_OE,TG_OE,TC_OE,GA_OE,GT_OE,GG_OE,GC_OE,CA_OE,CT_OE,CG_OE,CC_OE,CA_and_TG_OE,AC_and_GT_OE,AG_and_CT_OE,GA_and_TC_OE,AA_and_TT_OE,CC_and_GG_OE
Scathophaga stercoraria,gene_associated_-2kb_+1kb,59.47,Scathophaga_stercoraria_ott557400,548000852.0,,0.9142889760326554,,,0.7982315815732247,,,,,,,1.0244753525274504,,,0.95527192883082,,1.1102498079000573,0.9641204109462987,0.8193136892690184,0.9347229922214074,1.1818093314951639,1.2034838575286453
Melanargia galathea,gene_associated_-2kb_+1kb,381.78,Melanargia_galathea_ott627797,606376002.0,,0.942323347125968,,,0.9061443243585692,,,,,,,1.1274767161136623,,,1.0945044348764528,,1.0164404246352499,0.9778467732757352,0.8990394159478923,0.9162327592939731,1.1375181877767935,1.0358371223330844
Ancylostoma caninum,gene_associated_-2kb_+1kb,815.75,Ancylostoma_caninum_ott936408,348020245.0,,0.923914113117876,,,0.7154094885781221,,,,,,,1.0684760181096584,,,0.9272145824851874,,1.1002614388297778,0.9093044028535843,0.987858705359527,1.0715971357776626,1.1541453096503653,0.9566841762038137
Argopecten irradians irradians,gene_associated_-2kb_+1kb,730.0,Argopecten_irradians_irradians_ott1078203,835595382.0,,0.9881542989434808,,,0.8695496664477881,,,,,,,0.8804033955004891,,,0.6695867381487217,,1.1976268360468865,1.0322017488919273,0.9207910095076062,0.9693872623015632,1.0378951567747214,1.1167309394614038
Caenorhabditis monodelphis,gene_associated_-2kb_+1kb,20.0,Caenorhabditis_monodelphis_ott624495,119425641.0,,0.8392476617997976,,,0.6273476127978079,,,,,,,1.0861666053608687,,,1.2016196555971737,,0.9858659939601042,0.899067951848787,0.8770195518281898,1.0558965592350962,1.3393327691577903,0.970307592813578
Dastarcus helophoroides,gene_associated_-2kb_+1kb,1496.9,Dastarcus_helophoroides_ott524802,538902350.0,,0.8121655791264699,,,0.6804974361415536,,,,,,,1.0387983601453703,,,1.0400626849902068,,0.9888674580136552,0.8528777420870143,0.9362606553661001,1.072859486715233,1.2896818944040944,1.1149631885706346
Protopolystoma xenopodis,gene_associated_-2kb_+1kb,609.3333333,Protopolystoma_xenopodis_ott825123,617344661.0,,0.9775031451852332,,,0.8019615149402881,,,,,,,1.0659087199056674,,,0.8254357231267844,,1.0850582532605353,0.8757957695401365,1.0221420017580258,1.0620808026186908,1.0943774967447517,1.022262813400289
Lottia scabra,gene_associated_-2kb_+1kb,3041.666667,Lottia_scabra_ott840646,414091288.0,,0.959800951983129,,,0.8197468466173022,,,,,,,0.9340920002039133,,,0.6573078938402935,,1.166478396554667,0.959201966232504,0.9466480301118505,1.0114398819066721,1.0886637826067898,1.1229409036509244
Auanema rhodensis,gene_associated_-2kb_+1kb,11.0,Cephaloboides_curvicaudata_ott4167756,180911798.0,,0.9549969506479472,,,0.7847420783883636,,,,,,,1.0644640864526282,,,0.8201188457517613,,1.1019781226143772,0.8709627369168763,0.995766274280576,1.1042370448759657,1.111834947286434,0.984992819998666
Caenorhabditis brenneri,gene_associated_-2kb_+1kb,43.0,Caenorhabditis_brenneri_ott90647,126489859.0,,0.8708411346057326,,,0.5672056275614764,,,,,,,0.877547395268181,,,0.8851186353538546,,1.083595057924746,0.8501414172007686,0.9697065776600966,1.2080388018271655,1.2450987678124756,1.0320661684780967
Batillaria attramentaria,gene_associated_-2kb_+1kb,3650.0,Troschelvindex_candeana_ott7947181,715684482.0,,0.8159384115959754,,,0.6871843326421995,,,,,,,0.9391851920496574,,,0.7072714714474192,,1.2995533791853264,1.1261135083186287,0.9560637109360707,0.9411767230340659,1.1173273140975744,0.9779537014587179
Hesperia comma,gene_associated_-2kb_+1kb,136.33,Hesperia_comma_ott1093034,525353014.0,,0.9615870910385228,,,0.9276651310334622,,,,,,,1.137564676837754,,,1.0992234017498723,,1.0310255607505536,0.9915684411410969,0.8885238118154515,0.904533332281295,1.111733573321373,1.0323542266816341
Ostrea denselamellosa,gene_associated_-2kb_+1kb,2190.0,Ostrea_denselamellosa_ott1088120,635891909.0,,0.9696794440823936,,,0.8006134672231363,,,,,,,0.908631417696339,,,0.5661072592035832,,1.2497305593519619,1.0012677994408306,0.9376694378944401,0.9995189461799736,1.063589554838202,1.0899251354986497
