GeneID,Fragmented,Multi_copy,Single_copy
578959at33208,0,0,1
580062at33208,0,0,1
580288at33208,0,0,1
581006at33208,0,0,1
581475at33208,0,0,1
581547at33208,1,0,0
581621at33208,0,0,1
581717at33208,0,0,1
582265at33208,0,0,1
582341at33208,0,0,1
582473at33208,0,0,1
582823at33208,0,0,1
582951at33208,0,0,1
584023at33208,0,0,1
584333at33208,0,0,1
585078at33208,0,0,1
585305at33208,0,0,1
585313at33208,0,0,1
585656at33208,0,0,1
585726at33208,0,0,1
585809at33208,0,0,1
586156at33208,0,0,1
586310at33208,0,0,1
586690at33208,0,0,1
586719at33208,0,0,1
587399at33208,0,0,1
587513at33208,0,0,1
587958at33208,0,0,1
589901at33208,0,0,1
590221at33208,0,0,1
590416at33208,0,0,1
591316at33208,0,0,1
591391at33208,0,0,1
591498at33208,0,0,1
592094at33208,0,0,1
592759at33208,0,0,1
592872at33208,0,0,1
594172at33208,0,0,1
594271at33208,0,0,1
594842at33208,0,0,1
5951at33208,0,0,1
595316at33208,0,0,1
595404at33208,0,0,1
596131at33208,0,0,1
596973at33208,0,0,1
598405at33208,0,0,1
598944at33208,0,0,1
599320at33208,0,1,0
600462at33208,0,0,1
600823at33208,0,0,1
601242at33208,0,0,1
601650at33208,0,0,1
601886at33208,0,0,1
601967at33208,0,0,1
602089at33208,0,0,1
602148at33208,0,0,1
602587at33208,0,0,1
603239at33208,0,0,1
603370at33208,0,0,1
603609at33208,0,0,1
603673at33208,0,0,1
604211at33208,0,0,1
604943at33208,0,0,1
605189at33208,0,0,1
606048at33208,0,0,1
606539at33208,0,0,1
606748at33208,0,1,0
606776at33208,1,0,0
607862at33208,0,1,0
608011at33208,0,0,1
608074at33208,0,0,1
608190at33208,0,0,1
608669at33208,0,0,1
608924at33208,0,0,1
610427at33208,0,0,1
610541at33208,0,0,1
611258at33208,0,0,1
611279at33208,0,0,1
611373at33208,0,0,1
612760at33208,0,0,1
612825at33208,0,0,1
613580at33208,0,0,1
613851at33208,1,0,0
614305at33208,0,0,1
615531at33208,0,0,1
615585at33208,0,0,1
616120at33208,0,0,1
616149at33208,0,0,1
616613at33208,0,1,0
616716at33208,0,0,1
617020at33208,0,0,1
617441at33208,0,0,1
617522at33208,0,0,1
617667at33208,0,0,1
618339at33208,0,0,1
618986at33208,0,0,1
619250at33208,0,0,1
619326at33208,0,0,1
620546at33208,0,0,1
621585at33208,0,0,1
621808at33208,0,0,1
622156at33208,0,0,1
622172at33208,0,0,1
622270at33208,0,0,1
622461at33208,0,0,1
622560at33208,0,0,1
623138at33208,0,0,1
623324at33208,0,0,1
623444at33208,0,0,1
623995at33208,0,0,1
625077at33208,0,1,0
628082at33208,0,0,1
628231at33208,0,0,1
628247at33208,0,0,1
629763at33208,0,0,1
630073at33208,0,0,1
631107at33208,0,0,1
631196at33208,0,0,1
631662at33208,0,0,1
631767at33208,0,0,1
631811at33208,0,0,1
632234at33208,0,0,1
632566at33208,0,0,1
633007at33208,0,0,1
633282at33208,0,0,1
633619at33208,0,0,1
634446at33208,0,0,1
634447at33208,0,0,1
636041at33208,0,0,1
636300at33208,0,0,1
636423at33208,0,0,1
63697at33208,0,0,1
642323at33208,0,0,1
642773at33208,0,0,1
643380at33208,0,0,1
643883at33208,0,0,1
643954at33208,0,0,1
644034at33208,0,0,1
649979at33208,0,0,1
65302at33208,0,0,1
66018at33208,0,0,1
75406at33208,0,0,1
76852at33208,0,0,1
84980at33208,0,0,1
88053at33208,0,0,1
9639at33208,0,0,1
99614at33208,0,0,1
99987at33208,1,0,0
